STYLE NAME,STYLE NUMBER,DESCRIPTION,PRICES,FABRIC DESCRIPTION,XS,S,M,L,XL,TOTAL ,Style name encoded
ELYSIAN CURVE,VS-012,BAGGY PANTS WITH ATTACHED CROP TOP.CROP TOP STRAPS WILL BE ADJUSTABLE. BELT WILL BE OF SELF FABRIC. ZIPPER WILL BE FOLLOWED FROM HIPS TO TOP BACK. SMOCKING WILL BE DONE AT THE BACK.,4000/-,BLUE DENIM,Not Available,14.0,9.0,9.0,Not Available,32.0,11
CORSETICA,VS-001,Shape the moment – corsetry that’s as bold as you are. A stretchy fit with stitch lines and cords tied at front flap. The fabric is long lasting and resistant to wrinkles. The corsetica has shape retention quality which gives body hugging shape.,1699/-,RIB,14.0,14.0,22.0,11.0,Not Available,61.0,3
TRUST NO LIMITS,VS-002,A overszied fit tshirt with screen printing giving the bold look to trust no limits. A breathable fabric with leather sleeve which makes it more attractive. A classic design to give a bold look for any event and easy to wear.,2799/-,"PU LEATHER
JERSEY",9.0,19.0,40.0,31.0,17.0,116.0,41
THREADED HARMONY,VS-005,"Top in midweight sweatshirt fabric with a soft brushed inside, an brand embroidered motif on the side in a contrasting colour. Round, rib-trimmed neckline, long sleeves and wide ribbing at the cuffs and hem. Relaxed fit for a casual but not oversized silhouette.",3899/-,TERRY,10.0,12.0,7.0,11.0,Not Available,40.0,39
GOOD OL' DAYS,VS-006,"Elevate your casual style with our Embroidered T-Shirt, where premium comfort meets artistic expression. Featuring intricate, high-quality embroidery, this shirt adds a touch of sophistication to your everyday look. Whether you’re dressing up for a laid-back brunch or adding a statement piece to your casual outfit, this embroidered t-shirt is perfect for making a stylish yet subtle statement.",2199/-,JERSEY,Not Available,10.0,11.0,6.0,Not Available,27.0,16
DESERT BLOOM,VS-007,"Bring the desert vibes wherever you go with our Cactus Shirt. Featuring a playful yet stylish cactus design, this shirt is perfect for those who love to add a touch of nature-inspired flair to their everyday look. It will be relaxed fit with premium embroidery.",3200/-,JERSEY,9.0,16.0,15.0,19.0,5.0,64.0,6
RUGGED REBEL,VS-008,"Featuring unique, unfinished raw edges along the hem and sleeves, this Tshirt exudes a relaxed, undone vibe that’s perfect for those who love to stand out from the crowd. Whether you’re pairing it with jeans for a casual day out or layering it under a jacket for a street-style look, this t-shirt offers both comfort and an effortlessly cool aesthetic.",1699/-,JERSEY,12.0,9.0,16.0,13.0,Not Available,50.0,32
GALACTIC GLOW,VS-009,Not Available,1800/-,JERSEY,9.0,5.0,9.0,8.0,8.0,39.0,15
ZIP & GO,VS-010,"Elevate your wardrobe with this stunning Green Embroidered Jacket that effortlessly blends classic style with intricate craftsmanship. High-quality, soft-to-the-touch fabric made from a blend of premium materials for a breathable, comfortable fit. Detachable pockets with zipper closure at front giving it a premium touch.",3500/-,TERRY,10.0,6.0,7.0,5.0,8.0,36.0,46
HOODLINK,VS-011,"Stay cozy and stylish with our Drawstring Detailing Hoodie, designed for both comfort and fashion. This versatile hoodie features unique drawstring detailing, adding a modern touch to a classic design. Relaxed and comfortable fit with a slightly oversized silhouette. The ribbed cuffs and hem ensure a snug fit while maintaining a laid-back look.",3000/-,TERRY,7.0,8.0,10.0,11.0,7.0,43.0,17
ECHOS OF PAST,VS-014,"Inspired by the tribal Warli art from Maharashtra, this jacket features striking hand-painted or embroidered motifs that celebrate nature, community, and daily life. The jacket features traditional Warli art motifs, such as trees, animals, geometric patterns, and human figures, screen-printed.Classic bomber fit with ribbed cuffs, waistband, and collar. Soft, satin lining that ensures comfort while wearing, and adds to the jacket’s durability.",3299/-,"FLEECE
BREATHable LINING FABRIC",5.0,9.0,14.0,5.0,3.0,36.0,10
BLUE BLOC,VS-016,"The classic fit White T-shirt with Brand Embroidered Patch combines minimalist design with subtle branding. Crafted for those who appreciate simplicity and style, this T-shirt elevates the everyday wardrobe with an embroidered patch that adds personality without overpowering the clean, crisp look. The patch showcases the brand’s logo, initials, or a unique design in contrasting thread colors for a premium and elevated look.",2499/-,JERSEY,9.0,8.0,13.0,11.0,4.0,45.0,0
SLEEK MODE,VS-019,Not Available,2800/-,LINEN,10.0,7.0,15.0,19.0,12.0,63.0,37
KHADI EMB SHIRT,VS-020,"Made from premium khadi fabric, this shirt is an ode to the age-old art of handwoven textiles, offering a lightweight, breathable fit that ensures comfort throughout the day. The herringbone embroidery, meticulously crafted with fine attention to detail, adds a distinctive touch of elegance, making this piece more than just a shirt—it’s a statement of craftsmanship.",3499/-,KHADI,10.0,9.0,18.0,17.0,17.0,71.0,19
KHOVAR FLOW,VS-021,"This T-shirt is adorned with an intricate Khovar print, a traditional folk art from Jharkhand, known for its intricate patterns that depict nature, animals, trees, and geometric shapes. The artwork is printed in vibrant, contrasting colors like black on white.Designed with a relaxed, comfortable fit, the T-shirt provides enough room for ease of movement.",2399/-,JERSEY,3.0,5.0,13.0,9.0,5.0,35.0,21
IVASAV,VS-022,Oversized tshirt with satin stitch mirror emb,2299/-,JERSEY,9.0,10.0,7.0,8.0,8.0,42.0,18
